index,time_s,qref1,qref2,qref3,qref4,qref5,qref6,qm1,qm2,qm3,qm4,qm5,qm6,qdotm1,qdotm2,qdotm3,qdotm4,qdotm5,qdotm6,qddotm1,qddotm2,qddotm3,qddotm4,qddotm5,qddotm6,qc1,qc2,qc3,qc4,qc5,qc6,tau_m1,tau_m2,tau_m3,tau_m4,tau_m5,tau_m6,tau_filtered_m1,tau_filtered_m2,tau_filtered_m3,tau_filtered_m4,tau_filtered_m5,tau_filtered_m6,motor_tau1,motor_tau2,motor_tau3,motor_tau4,motor_tau5,motor_tau6,motor_tau_filtered1,motor_tau_filtered2,motor_tau_filtered3,motor_tau_filtered4,motor_tau_filtered5,motor_tau_filtered6
20,0.02,1.20185e-06,-1.43686e-07,0.00048063,1.73083e-06,3.38693e-07,-4.52915e-07,1.19842e-06,2.19711e-06,0.000479768,3.1159e-06,4.79369e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,8.02729e-07,-9.53749e-08,0.000480229,1.15344e-06,2.25992e-07,-3.01901e-07,-11.1396,1.017,-2.97314,1.79274,1.52314,-0.113716,-11.1317,1.06201,-2.9857,1.82764,1.55501,-0.0727878,-0.04284,0.00252,0.01485,-0.0082,-0.016,0.0162,-0.0442203,0.00208299,0.0155942,-0.00826875,-0.0159568,0.0162008
21,0.021,1.39064e-06,-1.66732e-07,0.000480821,2.00479e-06,3.92074e-07,-5.24542e-07,1.19842e-06,1.99737e-06,0.000479569,3.1159e-06,4.79369e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,9.46407e-07,-1.12761e-07,0.000480373,1.36127e-06,2.66561e-07,-3.56258e-07,-10.8951,1.11288,-3.02148,1.89398,1.58075,-0.12498,-11.0404,1.08164,-2.99951,1.85324,1.56494,-0.0929273,-0.04536,0.00063,0.0154,-0.0082,-0.016,0.0158,-0.0446601,0.00152232,0.0155193,-0.00824222,-0.0159735,0.0160461
22,0.022,1.59815e-06,-1.9216e-07,0.00048103,2.30635e-06,4.50787e-07,-6.03372e-07,1.19842e-06,1.99737e-06,0.000479569,3.1159e-06,4.79369e-07,-4.79369e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,1.1064e-06,-1.32193e-07,0.000480534,1.59301e-06,3.11763e-07,-4.16861e-07,-10.8462,1.06494,-3.02148,1.88386,1.454,-0.00107013,-10.9655,1.07519,-3.00799,1.86505,1.52213,-0.0574824,-0.04473,0.00189,0.0154,-0.0082,-0.016,0.0164,-0.0446871,0.0016642,0.0154732,-0.00822593,-0.0159837,0.0161827
23,0.023,1.82526e-06,-2.20094e-07,0.000481259,2.63686e-06,5.15086e-07,-6.89756e-07,1.39816e-06,1.99737e-06,0.000479569,3.1159e-06,4.79369e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,1.28359e-06,-1.53794e-07,0.000480713,1.85002e-06,3.61854e-07,-4.84059e-07,-10.944,1.017,-2.97314,1.83324,1.54618,-0.00107013,-10.9572,1.05274,-2.99454,1.85278,1.53141,-0.0357147,-0.04473,0.00252,0.01485,-0.008,-0.016,0.016,-0.0447036,0.00199443,0.0152327,-0.00813875,-0.01599,0.0161122
24,0.024,2.07285e-06,-2.50662e-07,0.000481509,2.99766e-06,5.85225e-07,-7.84044e-07,1.39816e-06,1.99737e-06,0.000479768,3.1159e-06,4.79369e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,1.47885e-06,-1.77686e-07,0.00048091,2.13362e-06,4.17087e-07,-5.58199e-07,-11.0907,1.06494,-3.094,1.85349,1.56923,-0.12498,-11.0087,1.05745,-3.03292,1.85305,1.546,-0.0701596,-0.04536,0.00189,0.01485,-0.0082,-0.016,0.0164,-0.0449569,0.00195413,0.0150851,-0.00816238,-0.0159939,0.0162232
25,0.025,2.34178e-06,-2.8399e-07,0.000481781,3.39011e-06,6.61457e-07,-8.86587e-07,1.39816e-06,1.99737e-06,0.000479968,3.1159e-06,4.79369e-07,-4.79369e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,1.69305e-06,-2.03994e-07,0.000481126,2.44516e-06,4.77716e-07,-6.39632e-07,-11.0907,1.11288,-2.97314,1.79274,1.46552,-0.0686575,-11.0403,1.07884,-3.00985,1.82978,1.51495,-0.06958,-0.0441,0.00189,0.0143,-0.008,-0.016,0.0156,-0.0446263,0.00192939,0.0147821,-0.00809973,-0.0159962,0.0159828
26,0.026,2.63291e-06,-3.20205e-07,0.000482075,3.81556e-06,7.44036e-07,-9.97735e-07,1.19842e-06,1.99737e-06,0.000479968,3.1159e-06,4.79369e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,1.92707e-06,-2.32842e-07,0.000481362,2.786e-06,5.43993e-07,-7.28707e-07,-11.0907,1.16081,-3.02148,1.85349,1.50009,-0.113716,-11.0598,1.11047,-3.01434,1.83893,1.50922,-0.0866107,-0.04158,0.00252,0.01485,-0.008,-0.016,0.0162,-0.0434508,0.00215729,0.0148083,-0.00806124,-0.0159977,0.0160666
27,0.027,2.94712e-06,-3.59438e-07,0.000482393,4.27537e-06,8.33216e-07,-1.11784e-06,1.39816e-06,1.79763e-06,0.000479968,3.1159e-06,4.79369e-07,-4.79369e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,2.18177e-06,-2.64357e-07,0.000481619,3.15747e-06,6.16174e-07,-8.25775e-07,-10.6507,1.11288,-3.04565,1.81299,1.55771,-0.0235993,-10.9019,1.1114,-3.02642,1.82892,1.52793,-0.0622965,-0.0441,0.00252,0.0143,-0.008,-0.016,0.0158,-0.0437013,0.00229725,0.0146122,-0.00803761,-0.0159986,0.0159637
28,0.028,3.28526e-06,-4.01816e-07,0.000482735,4.77091e-06,9.29249e-07,-1.24726e-06,1.39816e-06,1.79763e-06,0.000480168,3.1159e-06,4.79369e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,2.45802e-06,-2.98665e-07,0.000481898,3.56093e-06,6.94511e-07,-9.31185e-07,-11.0907,1.11288,-2.97314,1.93448,1.6038,-0.102451,-10.9748,1.11197,-3.00586,1.86965,1.5572,-0.077791,-0.0441,0.00126,0.01485,-0.0078,-0.016,0.0166,-0.0438551,0.001897,0.0147039,-0.00794592,-0.0159991,0.0162092
29,0.029,3.6482e-06,-4.47473e-07,0.000483103,5.30352e-06,1.03239e-06,-1.38634e-06,1.5979e-06,1.5979e-06,0.000480368,3.1159e-06,4.79369e-07,-7.19053e-07,0,-0,-0,0,-0,0,0,0,0,0,0,0,2.7567e-06,-3.35896e-07,0.000482201,3.99774e-06,7.79258e-07,-1.04529e-06,-11.2374,1.06494,-2.99731,1.91423,1.48857,-0.0799221,-11.0761,1.09382,-3.00256,1.88685,1.53072,-0.0786133,-0.0441,0.00315,0.0143,-0.0078,-0.016,0.016,-0.0439496,0.0023805,0.0145481,-0.00788962,-0.0159995,0.0161285
